,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
31,EPI,6574,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6574/ses-ofM/sub-6574_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.09718527,-0.30297238,6574:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
32,EPI,6574,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6574/ses-ofMr1/sub-6574_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-0.6317611,-0.52147865,6574:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
33,EPI,6574,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6574/ses-ofMr1/sub-6574_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-1.0461074,-1.0479898,6574:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
34,EPI,6575,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6575/ses-ofM/sub-6575_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,3.9659457,4.156602,6575:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
35,EPI,6575,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6575/ses-ofMr1/sub-6575_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.1084672,0.90682024,6575:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
36,EPI,6575,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6575/ses-ofMr1/sub-6575_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.52193296,0.99443483,6575:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
37,EPI,6576,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6576/ses-ofM/sub-6576_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.9205911,1.7903976,6576:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
38,EPI,6576,ofM,JPogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6576/ses-ofM/sub-6576_ses-ofM_task-JPogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.2486498,1.4350032,6576:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
39,EPI,6576,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6576/ses-ofMr1/sub-6576_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.7300281,0.55353856,6576:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
40,EPI,6576,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6576/ses-ofMr1/sub-6576_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.0058028,1.0542666,6576:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
41,EPI,6578,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6578/ses-ofM/sub-6578_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,4.2880645,3.9859622,6578:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
42,EPI,6578,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6578/ses-ofM/sub-6578_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.36294293,-0.6083902,6578:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
43,EPI,6578,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6578/ses-ofMr1/sub-6578_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.8174123,1.6132908,6578:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
44,EPI,6578,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6578/ses-ofMr1/sub-6578_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.30348432,0.7959473,6578:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
45,EPI,6582,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6582/ses-ofMr1/sub-6582_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.111054,0.9188143,6582:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
46,EPI,6586,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6586/ses-ofM/sub-6586_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,5.579785,5.725873,6586:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
47,EPI,6586,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6586/ses-ofM/sub-6586_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.16707137,-0.054889023,6586:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
48,EPI,6587,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6587/ses-ofM/sub-6587_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,4.1303096,4.5679827,6587:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
49,EPI,6587,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6587/ses-ofM/sub-6587_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.36411655,0.07395102,6587:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
50,EPI,6587,ofMr1,CogMwf,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6587/ses-ofMr1/sub-6587_ses-ofMr1_task-CogMwf_acq-EPI_run-0_desc-tstat_cbv.nii.gz,4.668627,4.7235107,6587:ofMr1:CBV,Block,"15.0,25.0",20.0,20.0,20.0,0.0075,"0.005,0.01"
51,EPI,6588,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.3617249,2.406679,6588:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
52,EPI,6588,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.9426873,-1.0139971,6588:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
53,EPI,6588,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.6341457,1.745164,6588:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
54,EPI,6588,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.3676584,0.43684924,6588:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
